"Region","Maison.Mere","Site","Tonnages.DIM","Nbre.de.rotation","Compacteur"
"Auvergne-Rhone-Alpes","ALLIANCE","ALLIANCE Annemasse",49.94,19,0
"Auvergne-Rhone-Alpes","ALLIANCE","ALLIANCE Clermont-Ferrand",37.02,14,0
"Auvergne-Rhone-Alpes","CERP R.R.M.","CERP R.R.M. Cebazat",22.58,7,0
"Auvergne-Rhone-Alpes","CERP R.R.M.","CERP R.R.M. Genas",33.6,11,0
"Auvergne-Rhone-Alpes","CERP R.R.M.","CERP R.R.M. Montelimar",55.98,18,0
"Auvergne-Rhone-Alpes","OCP","OCP Clermont-Ferrand",87.4,51,0
"Auvergne-Rhone-Alpes","OCP","OCP Echirolles",57.5,26,0
"Auvergne-Rhone-Alpes","OCP","OCP Montlucon",41.14,18,0
"Auvergne-Rhone-Alpes","OCP","OCP Valence",40.28,16,0
"Auvergne-Rhone-Alpes","PHOENIX","PHOENIX Chassieu",42.86,16,0
"Auvergne-Rhone-Alpes","PHOENIX","PHOENIX Clermont-Ferrand ",32.94,12,0
"Auvergne-Rhone-Alpes","PHOENIX","PHOENIX Grand Croix",24.43,10,0
"Auvergne-Rhone-Alpes","PHOENIX","PHOENIX Yzeure",27.68,10,0
"Auvergne-Rhone-Alpes","AREDIS","AREDIS JONAGE",2.1,1,0
"Bourgogne-Franche-Comte","ALLIANCE","ALLIANCE Auxerre",30.52,12,0
"Bourgogne-Franche-Comte","ALLIANCE","ALLIANCE Longvic",30.55,12,0
"Bourgogne-Franche-Comte","CERP R.R.M.","CERP R.R.M. Bavillers",83.04,30,0
"Bourgogne-Franche-Comte","CERP R.R.M.","CERP R.R.M. Besancon",68.76,25,0
"Bourgogne-Franche-Comte","CERP R.R.M.","CERP R.R.M. Chalon s/Saone",55.62,27,0
"Bourgogne-Franche-Comte","CERP R.R.M.","CERP R.R.M. Lons le Saunier",45.38,15,0
"Bourgogne-Franche-Comte","CERP R.R.M.","CERP R.R.M. Sens",18.04,7,0
"Bourgogne-Franche-Comte","CERP R.R.M.","CERP R.R.M. St-Apollinaire",77.28,30,0
"Bourgogne-Franche-Comte","CERP ROUEN","CERP ROUEN Macon",38.04,12,0
"Bourgogne-Franche-Comte","OCP","OCP Audincourt",32.46,11,0
"Bourgogne-Franche-Comte","OCP","OCP Nevers",46.54,16,0
"Bourgogne-Franche-Comte","OCP","OCP Quetigny",81.16,26,0
"Bourgogne-Franche-Comte","PHOENIX","PHOENIX Auxerre",35.28,13,0
"Bretagne","ALLIANCE","ALLIANCE Auray",32.22,11,0
"Bretagne","ALLIANCE","ALLIANCE Le Relecq Kerthuon",32.64,14,0
"Bretagne","ALLIANCE","ALLIANCE Vern s/Seiche",39.84,13,0
"Bretagne","CERP BRETAGNE A.","CERP BRETAGNE A. Brest ",44.14,14,0
"Bretagne","CERP BRETAGNE A.","CERP BRETAGNE A. Dinan",31.06,11,0
"Bretagne","CERP BRETAGNE A.","CERP BRETAGNE A. St-Gregoire",71.9,24,0
"Bretagne","CERP BRETAGNE A.","CERP BRETAGNE A. St-Martin des Champs",34.3,13,0
"Bretagne","CERP ROUEN","CERP ROUEN Lorient",51.6,21,0
"Bretagne","CERP ROUEN","CERP ROUEN Quimper",41.18,13,0
"Bretagne","CERP ROUEN","CERP ROUEN Vannes",43.4,13,0
"Bretagne","OCP","OCP Chantepie",77.22,32,0
"Centre-Val de Loire","ALLIANCE","ALLIANCE Chateauroux (Deols)",47.28,17,0
"Centre-Val de Loire","ALLIANCE","ALLIANCE Nogent le Phaye",57.24,20,0
"Centre-Val de Loire","ALLIANCE","ALLIANCE St Germain du Puy",39.8,15,0
"Centre-Val de Loire","CERP BRETAGNE A.","CERP BRETAGNE A. Montierchaume",24.78,10,0
"Centre-Val de Loire","OCP","OCP Baule",13.44,5,0
"Centre-Val de Loire","PHOENIX","PHOENIX La Chaussee St-Victor",56.38,25,0
"Corse (Prov ACA)","ALLIANCE","ALLIANCE / ORPEC Bastia",34.77,12,0
"Corse (Prov ACA)","ALLIANCE","ALLIANCE Ajaccio",28.7,9,0
"Grand-Est","ALLIANCE","ALLIANCE Charleville",28.46,10,0
"Grand-Est","CERP R.R.M.","CERP R.R.M. Colmar",44.38,15,0
"Grand-Est","PHOENIX","PHOENIX Trmery",93.54,36,0
"Grand-Est","OCP","OCP Illkirch",65.72,24,0
"Grand-Est","CERP R.R.M.","CERP R.R.M. Illzach",65.7,22,0
"Grand-Est","CERP R.R.M.","CERP R.R.M. METZ",42.46,17,0
"Grand-Est","CERP ROUEN","CERP ROUEN Pont-a Mousson",67.66,28,0
